accessions	gene_id	gene	gene_description	alt_gene_description	all_GO_ids	BP_GO_ids	CC_GO_ids	MF_GO_ids
O81069	817448		Probable leucine-rich repeat receptor-like protein kinase At2g28990	Lysophosphatidic acid acyltransferase epsilon	GO:0016021;GO:0005524;GO:0106310;GO:0004674;GO:0004712		GO:0016021	GO:0005524;GO:0106310;GO:0004674;GO:0004712
O54750;Q8BR78	13110	Cyp2j6	Cytochrome P450 2J6	CYPIIJ6	GO:0005737;GO:0005783;GO:0005789;GO:0043231;GO:0008405;GO:0008404;GO:0008392;GO:0008391;GO:0070330;GO:0020037;GO:0005506;GO:0016853;GO:0071614;GO:0003958;GO:0016712;GO:0008395;GO:0019369;GO:0019373;GO:0006690;GO:0043651;GO:0032966;GO:0035359;GO:0006082;GO:0032760;GO:0001523;GO:0006805	GO:0019369;GO:0019373;GO:0006690;GO:0043651;GO:0032966;GO:0035359;GO:0006082;GO:0032760;GO:0001523;GO:0006805	GO:0005737;GO:0005783;GO:0005789;GO:0043231	GO:0008405;GO:0008404;GO:0008392;GO:0008391;GO:0070330;GO:0020037;GO:0005506;GO:0016853;GO:0071614;GO:0003958;GO:0016712;GO:0008395
P00187;Q29526	100328937	CYP1A2	Cytochrome P450 1A2	Hydroperoxy icosatetraenoate dehydratase	GO:0005789;GO:0070330;GO:0101020;GO:0101021;GO:0020037;GO:0106256;GO:0005506;GO:0019369;GO:0008203;GO:0008210;GO:0042572	GO:0019369;GO:0008203;GO:0008210;GO:0042572	GO:0005789	GO:0070330;GO:0101020;GO:0101021;GO:0020037;GO:0106256;GO:0005506
Q5RBR7	100172358	LYPLA1	Acyl-protein thioesterase 1	Palmitoyl-protein hydrolase	GO:0005737;GO:0005783;GO:0031965;GO:0005886;GO:0004622;GO:0008474;GO:0004620;GO:0006631;GO:0002084	GO:0006631;GO:0002084	GO:0005737;GO:0005783;GO:0031965;GO:0005886	GO:0004622;GO:0008474;GO:0004620
Q86Y13;B3KN01;O75162;Q6P3R9;Q6PH82;Q86Y14;Q86Y15;Q86Y16;Q8IWI0Q96RS9	9666	DZIP3	E3 ubiquitin-protein ligase DZIP3	RNA-binding ubiquitin ligase of 138 kDa	GO:0005737;GO:0046872;GO:0019902;GO:0031593;GO:0003723;GO:0061630;GO:0004842;GO:0000209	GO:0000209	GO:0005737	GO:0046872;GO:0019902;GO:0031593;GO:0003723;GO:0061630;GO:0004842
Q8BZ25	244859	Ankk1	Ankyrin repeat and protein kinase domain-containing protein 1	RNA-binding ubiquitin ligase of 138 kDa	GO:0042995;GO:0005737;GO:0005634;GO:0005524;GO:0106310;GO:0004674;GO:0004712;GO:0010564	GO:0010564	GO:0042995;GO:0005737;GO:0005634	GO:0005524;GO:0106310;GO:0004674;GO:0004712
P27169;B2RA40;Q16052;Q6B0J6;Q9UCB1	5444	PON1	Serum paraoxonase/arylesterase 1	Serum aryldialkylphosphatase 1	GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0043231;GO:0034366;GO:0102007;GO:0004063;GO:0004064;GO:0005509;GO:0005543;GO:0042803;GO:0019439;GO:0046395;GO:0008203;GO:0046434;GO:0046470;GO:0051099;GO:0010875;GO:0032411;GO:0070542;GO:1902617;GO:0031667;GO:0009636	GO:0019439;GO:0046395;GO:0008203;GO:0046434;GO:0046470;GO:0051099;GO:0010875;GO:0032411;GO:0070542;GO:1902617;GO:0031667;GO:0009636	GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0043231;GO:0034366	GO:0102007;GO:0004063;GO:0004064;GO:0005509;GO:0005543;GO:0042803
Q91090	100303695	PON2	Serum paraoxonase/arylesterase 2	Serum aryldialkylphosphatase 2	GO:0005576;GO:0016020;GO:0004063;GO:0004064;GO:0046872		GO:0005576;GO:0016020	GO:0004063;GO:0004064;GO:0046872
Q01484;Q01485;Q08AC7;Q08AC8;Q7Z3L5	287	ANK2	Ankyrin-2	Non-erythroid ankyrin	GO:0031672;GO:0016324;GO:0016323;GO:0043034;GO:0005856;GO:0005829;GO:0005769;GO:0014704;GO:0005764;GO:0031430;GO:0045121;GO:0005739;GO:0043005;GO:0005886;GO:0045211;GO:0055037;GO:0042383;GO:0030315;GO:0030018;GO:0051117;GO:0008093;GO:0019899;GO:0140031;GO:0019901;GO:0030674;GO:0030507;GO:0005200;GO:0044325;GO:0086014;GO:0086066;GO:0003283;GO:0006874;GO:0034613;GO:0006897;GO:0086046;GO:0030913;GO:1901021;GO:0051928;GO:2001259;GO:0010628;GO:1901018;GO:0043268;GO:0034394;GO:0070972;GO:0036309;GO:0033365;GO:0072659;GO:0036371;GO:0050821;GO:0015031;GO:0098910;GO:1901019;GO:0051924;GO:0086004;GO:0055117;GO:0010882;GO:0010881;GO:0002027;GO:0086091;GO:0031647;GO:0051279;GO:0098907;GO:0060307;GO:0051597;GO:0086015;GO:0086070;GO:0070296;GO:0033292;GO:0086005	GO:0086014;GO:0086066;GO:0003283;GO:0006874;GO:0034613;GO:0006897;GO:0086046;GO:0030913;GO:1901021;GO:0051928;GO:2001259;GO:0010628;GO:1901018;GO:0043268;GO:0034394;GO:0070972;GO:0036309;GO:0033365;GO:0072659;GO:0036371;GO:0050821;GO:0015031;GO:0098910;GO:1901019;GO:0051924;GO:0086004;GO:0055117;GO:0010882;GO:0010881;GO:0002027;GO:0086091;GO:0031647;GO:0051279;GO:0098907;GO:0060307;GO:0051597;GO:0086015;GO:0086070;GO:0070296;GO:0033292;GO:0086005	GO:0031672;GO:0016324;GO:0016323;GO:0043034;GO:0005856;GO:0005829;GO:0005769;GO:0014704;GO:0005764;GO:0031430;GO:0045121;GO:0005739;GO:0043005;GO:0005886;GO:0045211;GO:0055037;GO:0042383;GO:0030315;GO:0030018	GO:0051117;GO:0008093;GO:0019899;GO:0140031;GO:0019901;GO:0030674;GO:0030507;GO:0005200;GO:0044325
Q9ERK0;Q3UM04	72388	Ripk4	Receptor-interacting serine/threonine-protein kinase 4	PKC-regulated protein kinase	GO:0005737;GO:0016020;GO:0005524;GO:0106310;GO:0004674;GO:0004712;GO:0002009;GO:0051092	GO:0002009;GO:0051092	GO:0005737;GO:0016020	GO:0005524;GO:0106310;GO:0004674;GO:0004712
Q9H2F3;Q96M28;Q9BSN9	80270	HSD3B7	3 beta-hydroxysteroid dehydrogenase type 7	Cholest-5-ene-3-beta7-alpha-diol 3-beta-dehydrogenase	GO:0005789;GO:0016021;GO:0005811;GO:0003854;GO:0047016;GO:0016616;GO:0035754;GO:0006699	GO:0035754;GO:0006699	GO:0005789;GO:0016021;GO:0005811	GO:0003854;GO:0047016;GO:0016616
Q14162;A8MQ05;O43701;Q8NHD2;Q8NHD3;Q8NHD4;Q8NHD5	8578	SCARF1	Scavenger receptor class F member 1	Scavenger receptor expressed by endothelial cells 1	GO:0030666;GO:0016021;GO:0005886;GO:0030169;GO:0005044;GO:0004888;GO:0007155;GO:0006707;GO:0016358;GO:0016322;GO:0048680;GO:0010976;GO:0006898	GO:0007155;GO:0006707;GO:0016358;GO:0016322;GO:0048680;GO:0010976;GO:0006898	GO:0030666;GO:0016021;GO:0005886	GO:0030169;GO:0005044;GO:0004888
Q3U0J8;Q2VPQ4;Q6PHN8;Q6ZPZ5	67016	Tbc1d2b	TBC1 domain family member 2B	Scavenger receptor expressed by endothelial cells 1	GO:0005829;GO:0005096;GO:0090630;GO:0006886	GO:0090630;GO:0006886	GO:0005829	GO:0005096
Q90511	101078626	eif2b2	Translation initiation factor eIF-2B subunit beta	eIF-2B GDP-GTP exchange factor subunit beta	GO:0005737;GO:0005851;GO:0005524;GO:0005525;GO:0003743;GO:0007417;GO:0042552;GO:0014003;GO:0050790;GO:0050852;GO:0006413	GO:0007417;GO:0042552;GO:0014003;GO:0050790;GO:0050852;GO:0006413	GO:0005737;GO:0005851	GO:0005524;GO:0005525;GO:0003743
Q567C6	550421	znf367	Zinc finger protein 367	eIF-2B GDP-GTP exchange factor subunit beta	GO:0005634;GO:0003700;GO:0046872;GO:0000978;GO:0006357	GO:0006357	GO:0005634	GO:0003700;GO:0046872;GO:0000978
Q8NC51;Q5VU19;Q5VU20;Q5VU22;Q8WUH0;Q96SE2;Q9BTY3;Q9BUM4;Q9Y367Q9Y4S3	26135	SERBP1	Plasminogen activator inhibitor 1 RNA-binding protein	SERPINE1 mRNA-binding protein 1	GO:0005737;GO:0005829;GO:0070062;GO:0016020;GO:0005634;GO:0048471;GO:0045296;GO:0003730;GO:0043022;GO:0003723;GO:0032183;GO:0030578;GO:0043488	GO:0030578;GO:0043488	GO:0005737;GO:0005829;GO:0070062;GO:0016020;GO:0005634;GO:0048471	GO:0045296;GO:0003730;GO:0043022;GO:0003723;GO:0032183
Q8NE22;F5H713	133383	SETD9	SET domain-containing protein 9	SERPINE1 mRNA-binding protein 1	GO:0005654;GO:0016278;GO:0032259;GO:1901796	GO:0032259;GO:1901796	GO:0005654	GO:0016278
Q9CQ66	66061	Dynlt2b	Dynein light chain Tctex-type protein 2B	Tctex1 domain-containing protein 2	GO:0005929;GO:0005737;GO:0005868;GO:0120293;GO:0045505;GO:0060271;GO:0035721;GO:0007018;GO:1902017;GO:1905799	GO:0060271;GO:0035721;GO:0007018;GO:1902017;GO:1905799	GO:0005929;GO:0005737;GO:0005868;GO:0120293	GO:0045505
Q9D5I4;Q80ZP4;Q9CVR8	67344	Dynlt5	Dynein light chain Tctex-type 5	Tctex1 domain-containing protein 1	GO:0005737;GO:0005868;GO:0045505;GO:0007018	GO:0007018	GO:0005737;GO:0005868	GO:0045505
H9D1R1		Txndc12	Thioredoxin domain-containing protein 12	Tctex1 domain-containing protein 1	GO:0005788;GO:0009055;GO:0019153;GO:0051607	GO:0051607	GO:0005788	GO:0009055;GO:0019153
P42285;Q2M386;Q6MZZ8;Q6P170;Q8N5R0;Q8TAG2	23517	MTREX	Exosome RNA helicase MTR4	TRAMP-like complex helicase	GO:0071013;GO:0016607;GO:0005730;GO:0005654;GO:0005634;GO:0031499;GO:0005524;GO:0016887;GO:0003723;GO:0003724;GO:0006974;GO:0000460;GO:0000398;GO:0006401;GO:0006364;GO:0016076	GO:0006974;GO:0000460;GO:0000398;GO:0006401;GO:0006364;GO:0016076	GO:0071013;GO:0016607;GO:0005730;GO:0005654;GO:0005634;GO:0031499	GO:0005524;GO:0016887;GO:0003723;GO:0003724
Q8N3J6;G3XHN7;G3XHN8;Q3KQY9;Q658Q7;Q8IZP8	253559	CADM2	Cell adhesion molecule 2	Synaptic cell adhesion molecule 2	GO:0030424;GO:0016021;GO:0005886;GO:0045202;GO:0007155	GO:0007155	GO:0030424;GO:0016021;GO:0005886;GO:0045202	
Q80V70;A2A913		Megf6	Multiple epidermal growth factor-like domains protein 6	Epidermal growth factor-like protein 3	GO:0062023;GO:0005576;GO:0005509		GO:0062023;GO:0005576	GO:0005509
Q7T3Q2	404210	crim1	Cysteine-rich motor neuron 1 protein	Epidermal growth factor-like protein 3	GO:0005576;GO:0016021;GO:0005520;GO:0004867;GO:0001568;GO:0048570;GO:0001756	GO:0001568;GO:0048570;GO:0001756	GO:0005576;GO:0016021	GO:0005520;GO:0004867
Q8N157;E1P584;Q4FD35;Q504T3;Q5TCP9;Q6P098;Q6PIT6;Q8NDX0;Q9H0H2	54806	AHI1	Jouberin	Abelson helper integration site 1 protein homolog	GO:0005912;GO:0005911;GO:0005814;GO:0005813;GO:0036064;GO:0005929;GO:0005829;GO:0036038;GO:0097730;GO:0042802;GO:0034613;GO:0007417;GO:0060271;GO:0035844;GO:0001947;GO:0030902;GO:0070121;GO:0070986;GO:0001738;GO:0043066;GO:0071599;GO:0035845;GO:0030862;GO:0002092;GO:0045944;GO:0039023;GO:0039008;GO:0050795;GO:0010842;GO:0065001;GO:0007169;GO:0016192	GO:0034613;GO:0007417;GO:0060271;GO:0035844;GO:0001947;GO:0030902;GO:0070121;GO:0070986;GO:0001738;GO:0043066;GO:0071599;GO:0035845;GO:0030862;GO:0002092;GO:0045944;GO:0039023;GO:0039008;GO:0050795;GO:0010842;GO:0065001;GO:0007169;GO:0016192	GO:0005912;GO:0005911;GO:0005814;GO:0005813;GO:0036064;GO:0005929;GO:0005829;GO:0036038;GO:0097730	GO:0042802
Q6DTM3	308923	Ahi1	Jouberin	Abelson helper integration site 1 protein homolog	GO:0005912;GO:0005911;GO:0005814;GO:0005813;GO:0036064;GO:0005929;GO:0005737;GO:0036038;GO:0097730;GO:0120206;GO:0001750;GO:0042802;GO:0034613;GO:0007417;GO:0060271;GO:0035844;GO:1990403;GO:0042462;GO:0001947;GO:0030902;GO:0070121;GO:0070986;GO:0001738;GO:0043066;GO:0046325;GO:1905515;GO:0071599;GO:0035845;GO:0010628;GO:0045927;GO:0010976;GO:0030862;GO:0002092;GO:0045944;GO:0039023;GO:0039008;GO:0033365;GO:0050795;GO:0050708;GO:0032094;GO:0060041;GO:0010842;GO:0046549;GO:0046548;GO:0065001;GO:0021510;GO:0007169;GO:0006903;GO:0016192	GO:0034613;GO:0007417;GO:0060271;GO:0035844;GO:1990403;GO:0042462;GO:0001947;GO:0030902;GO:0070121;GO:0070986;GO:0001738;GO:0043066;GO:0046325;GO:1905515;GO:0071599;GO:0035845;GO:0010628;GO:0045927;GO:0010976;GO:0030862;GO:0002092;GO:0045944;GO:0039023;GO:0039008;GO:0033365;GO:0050795;GO:0050708;GO:0032094;GO:0060041;GO:0010842;GO:0046549;GO:0046548;GO:0065001;GO:0021510;GO:0007169;GO:0006903;GO:0016192	GO:0005912;GO:0005911;GO:0005814;GO:0005813;GO:0036064;GO:0005929;GO:0005737;GO:0036038;GO:0097730;GO:0120206;GO:0001750	GO:0042802
D3ZYR1		Fcho2	F-BAR domain only protein 2	Abelson helper integration site 1 protein homolog	GO:0005905;GO:0030136;GO:0005737;GO:0005886;GO:0098835;GO:0042802;GO:0035091;GO:0005546;GO:0001786;GO:0048268;GO:0072583;GO:0010324;GO:0072659;GO:0048488	GO:0048268;GO:0072583;GO:0010324;GO:0072659;GO:0048488	GO:0005905;GO:0030136;GO:0005737;GO:0005886;GO:0098835	GO:0042802;GO:0035091;GO:0005546;GO:0001786
Q9Y493;A0A087WU49;A0FKC8;D6W5W4;O00218;Q96L85;Q96L86;Q96L87;Q96L88Q96L89;Q96L90;Q9BXN9;Q9BZ83;Q9BZ84;Q9BZ85;Q9BZ86;Q9BZ87;Q9BZ88	7455	ZAN	Zonadhesin	Abelson helper integration site 1 protein homolog	GO:0031012;GO:0005615;GO:0016021;GO:0005886;GO:0007339;GO:0098609	GO:0007339;GO:0098609	GO:0031012;GO:0005615;GO:0016021;GO:0005886	
Q0JRZ9;A8K6W7;B2RNQ9;B4DHK0;E9PG79;Q0JTJ3;Q96CF5	115548	FCHO2	F-BAR domain only protein 2	Abelson helper integration site 1 protein homolog	GO:0005905;GO:0030136;GO:0005737;GO:0005829;GO:0005886;GO:0098835;GO:0042802;GO:0035091;GO:0005546;GO:0001786;GO:0048268;GO:0072583;GO:0010324;GO:0072659;GO:0048488	GO:0048268;GO:0072583;GO:0010324;GO:0072659;GO:0048488	GO:0005905;GO:0030136;GO:0005737;GO:0005829;GO:0005886;GO:0098835	GO:0042802;GO:0035091;GO:0005546;GO:0001786
O60290;A0AUL8	643641	ZNF862	Zinc finger protein 862	Abelson helper integration site 1 protein homolog	GO:0005634;GO:0046872;GO:0046983;GO:0006355	GO:0006355	GO:0005634	GO:0046872;GO:0046983
Q9UPU5;Q6ZSY2;Q8N2Y4;Q9NXD1	23358	USP24	Ubiquitin carboxyl-terminal hydrolase 24	Ubiquitin-specific-processing protease 24	GO:0005829;GO:0005654;GO:0005634;GO:0004197;GO:0004843;GO:0016579;GO:0006511	GO:0016579;GO:0006511	GO:0005829;GO:0005654;GO:0005634	GO:0004197;GO:0004843
P22694;B1APG4;B4DKB0;B4E2Q1;Q14VH1;Q59GC0;Q5BNE9;Q5BNF0;Q5BNF1Q5BNF2;Q5BNF3;Q5CZ92;Q5T1K3;Q7Z3M1;Q8IYR5;Q8IZQ0;Q96B09	5567	PRKACB	cAMP-dependent protein kinase catalytic subunit beta	Ubiquitin-specific-processing protease 24	GO:0005952;GO:0005813;GO:0097546;GO:0005829;GO:0070062;GO:0005654;GO:0005634;GO:0005886;GO:0004679;GO:0005524;GO:0004691;GO:0000287;GO:0106310;GO:0004674;GO:0004712;GO:0031625;GO:0007188;GO:0034380;GO:1901621;GO:0001843;GO:0010737;GO:0006468;GO:0070613;GO:0003091;GO:0007165	GO:0007188;GO:0034380;GO:1901621;GO:0001843;GO:0010737;GO:0006468;GO:0070613;GO:0003091;GO:0007165	GO:0005952;GO:0005813;GO:0097546;GO:0005829;GO:0070062;GO:0005654;GO:0005634;GO:0005886	GO:0004679;GO:0005524;GO:0004691;GO:0000287;GO:0106310;GO:0004674;GO:0004712;GO:0031625
Q9XTR8	191267		Lipase ZK262.3	Ubiquitin-specific-processing protease 24	GO:0005576;GO:0016787;GO:0016042	GO:0016042	GO:0005576	GO:0016787
P38040;A4UZ90;Q540Y8;Q9V4Z3	35881	Ggamma1	Guanine nucleotide-binding protein subunit gamma-1	Ubiquitin-specific-processing protease 24	GO:0005834;GO:0031681;GO:0045176;GO:0055059;GO:0061343;GO:0060027;GO:0007391;GO:0035050;GO:0003380;GO:0007186;GO:0003015;GO:0048383;GO:0007637;GO:0010470;GO:0043519	GO:0045176;GO:0055059;GO:0061343;GO:0060027;GO:0007391;GO:0035050;GO:0003380;GO:0007186;GO:0003015;GO:0048383;GO:0007637;GO:0010470;GO:0043519	GO:0005834	GO:0031681
Q60519;B1B1A9;Q6ZPQ8;Q7TT33;Q8BVE5	20357	Sema5b	Semaphorin-5B	Semaphorin-G	GO:0016021;GO:0045499;GO:0030215;GO:0048675;GO:0007411;GO:0050908;GO:0048843;GO:0001755;GO:1990138;GO:0097485;GO:0030335;GO:0071526	GO:0048675;GO:0007411;GO:0050908;GO:0048843;GO:0001755;GO:1990138;GO:0097485;GO:0030335;GO:0071526	GO:0016021	GO:0045499;GO:0030215
Q96N67;Q00M63;Q2PPY7;Q45RE8;Q45RE9;Q5T1B9;Q5T1C0;Q6ZV32;Q8TB82Q96NG6;Q96NI0;Q9C092	85440	DOCK7	Dedicator of cytokinesis protein 7	Semaphorin-G	GO:0030424;GO:0045178;GO:0005925;GO:0030426;GO:0043005;GO:0005085;GO:0031267;GO:0090630;GO:0007409;GO:0045200;GO:0022027;GO:0000226;GO:0120163;GO:0031175;GO:0033138;GO:1904754;GO:0050767;GO:0007264	GO:0090630;GO:0007409;GO:0045200;GO:0022027;GO:0000226;GO:0120163;GO:0031175;GO:0033138;GO:1904754;GO:0050767;GO:0007264	GO:0030424;GO:0045178;GO:0005925;GO:0030426;GO:0043005	GO:0005085;GO:0031267
E1BD59		TRIM56	E3 ubiquitin-protein ligase TRIM56	Tripartite motif-containing protein 56	GO:0000785;GO:0005737;GO:0005654;GO:0061630;GO:0004842;GO:0008270;GO:0051607;GO:0045087;GO:0032728;GO:0045893;GO:0070534;GO:0034340	GO:0051607;GO:0045087;GO:0032728;GO:0045893;GO:0070534;GO:0034340	GO:0000785;GO:0005737;GO:0005654	GO:0061630;GO:0004842;GO:0008270
Q07553;Q9VKI9	34553	Gyc32E	Guanylate cyclase 32E	Tripartite motif-containing protein 56	GO:0005887;GO:0005886;GO:0005524;GO:0005525;GO:0004383;GO:0001653;GO:0038023;GO:0006182;GO:0019934;GO:0006468;GO:0007168;GO:0007165	GO:0006182;GO:0019934;GO:0006468;GO:0007168;GO:0007165	GO:0005887;GO:0005886	GO:0005524;GO:0005525;GO:0004383;GO:0001653;GO:0038023
Q9BI23		y	Protein yellow	Tripartite motif-containing protein 56	GO:0070451;GO:0005737;GO:0005576;GO:0048067;GO:0048065;GO:0042438;GO:0048082	GO:0048067;GO:0048065;GO:0042438;GO:0048082	GO:0070451;GO:0005737;GO:0005576	
P70031	378563	cckar	Cholecystokinin receptor	CCK-XLR	GO:0016021;GO:0005886;GO:0004930		GO:0016021;GO:0005886	GO:0004930
C3ZQF9		QRFPR	QRFP-like peptide receptor	CCK-XLR	GO:0005887;GO:0004930;GO:0004983;GO:1901653;GO:0007186	GO:1901653;GO:0007186	GO:0005887	GO:0004930;GO:0004983
P49146;Q13281;Q13457;Q4W5G7;Q6AZZ6;Q9UE67	4887	NPY2R	Neuropeptide Y receptor type 2	NPY-Y2 receptor	GO:0005929;GO:0005887;GO:0097730;GO:0005886;GO:0005246;GO:0004983;GO:0001601;GO:0038023;GO:0007193;GO:0003214;GO:0007626;GO:0003151	GO:0007193;GO:0003214;GO:0007626;GO:0003151	GO:0005929;GO:0005887;GO:0097730;GO:0005886	GO:0005246;GO:0004983;GO:0001601;GO:0038023
Q96PY6;G5E9Z3;Q05DG5;Q14CB7;Q5H9T1;Q6PIB8;Q96SS2;Q9H6P7;Q9Y594	4750	NEK1	Serine/threonine-protein kinase Nek1	Renal carcinoma antigen NY-REN-55	GO:0034451;GO:0005813;GO:0005737;GO:0005829;GO:0005654;GO:0005634;GO:0000242;GO:0071889;GO:0005524;GO:0016301;GO:0046872;GO:0004672;GO:0106310;GO:0004674;GO:0004712;GO:0004713;GO:0007049;GO:0051301;GO:0060271;GO:0006468	GO:0007049;GO:0051301;GO:0060271;GO:0006468	GO:0034451;GO:0005813;GO:0005737;GO:0005829;GO:0005654;GO:0005634;GO:0000242	GO:0071889;GO:0005524;GO:0016301;GO:0046872;GO:0004672;GO:0106310;GO:0004674;GO:0004712;GO:0004713
P13002;A0JQ61;A1ZB05;Q6NN37;Q86PE1;Q8MMA8;Q8MMB0;Q8MMB1;Q960H2Q9TYG4;Q9V889;Q9V890;Q9V891	37038	grh	Protein grainyhead	Transcription factor NTF-1	GO:0005634;GO:0003677;GO:0001228;GO:0003700;GO:0042803;GO:0000978;GO:0043565;GO:0040003;GO:0008362;GO:0003382;GO:0008543;GO:0007402;GO:0061024;GO:0007399;GO:0007424;GO:0045944;GO:0007464;GO:0042127;GO:0050767;GO:0006357;GO:0035159;GO:0061041;GO:0042052;GO:0007426;GO:0007419	GO:0040003;GO:0008362;GO:0003382;GO:0008543;GO:0007402;GO:0061024;GO:0007399;GO:0007424;GO:0045944;GO:0007464;GO:0042127;GO:0050767;GO:0006357;GO:0035159;GO:0061041;GO:0042052;GO:0007426;GO:0007419	GO:0005634	GO:0003677;GO:0001228;GO:0003700;GO:0042803;GO:0000978;GO:0043565
Q9VML9;Q9VMM1	33812	TrissinR	Trissin receptor	Transcription factor NTF-1	GO:0016021;GO:0005887;GO:0008528;GO:0004930;GO:0008188;GO:0007186	GO:0007186	GO:0016021;GO:0005887	GO:0008528;GO:0004930;GO:0008188
Q71R50	395172	DHRS11	Dehydrogenase/reductase SDR family member 11	Short-chain dehydrogenase/reductase family 24C member 1	GO:0005576;GO:0044594;GO:0072582;GO:0072555;GO:0000253;GO:0102176;GO:0000166;GO:0006703	GO:0006703	GO:0005576	GO:0044594;GO:0072582;GO:0072555;GO:0000253;GO:0102176;GO:0000166
Q94521;Q8MKK2;Q9TWF1	37867	speck	Arylalkylamine N-acetyltransferase 1	Dopamine N-acetyltransferase	GO:0005737;GO:0005634;GO:0004059;GO:0004060;GO:0008080;GO:0006584;GO:0007593;GO:0042420;GO:0030187;GO:0046334;GO:0045187;GO:0042429;GO:0030431	GO:0006584;GO:0007593;GO:0042420;GO:0030187;GO:0046334;GO:0045187;GO:0042429;GO:0030431	GO:0005737;GO:0005634	GO:0004059;GO:0004060;GO:0008080
Q8NHV1	168537	GIMAP7	GTPase IMAP family member 7	Immunity-associated nucleotide 7 protein	GO:0005829;GO:0005783;GO:0005794;GO:0043231;GO:0005811;GO:0005525;GO:0003924;GO:0042802;GO:0042803;GO:0046039	GO:0046039	GO:0005829;GO:0005783;GO:0005794;GO:0043231;GO:0005811	GO:0005525;GO:0003924;GO:0042802;GO:0042803
Q3U487;B1AUL1;Q3TN76;Q641P3;Q8BQ74;Q8R1L6	76608	Hectd3	E3 ubiquitin-protein ligase HECTD3	HECT-type E3 ubiquitin transferase HECTD3	GO:0048471;GO:0019905;GO:0004842;GO:0043161	GO:0043161	GO:0048471	GO:0019905;GO:0004842
P56520	395506	HDAC3	Histone deacetylase 3	Protein deacylase HDAC3	GO:0005737;GO:0000118;GO:0005634;GO:0017053;GO:0003682;GO:0140297;GO:0004407;GO:0032041;GO:0003714;GO:0006325;GO:0032922;GO:0070932;GO:0070933;GO:0000122;GO:0045944;GO:0042752	GO:0006325;GO:0032922;GO:0070932;GO:0070933;GO:0000122;GO:0045944;GO:0042752	GO:0005737;GO:0000118;GO:0005634;GO:0017053	GO:0003682;GO:0140297;GO:0004407;GO:0032041;GO:0003714
Q6AY22	362056	Spata1	Spermatogenesis-associated protein 1	Protein deacylase HDAC3				
P48416		CYP10	Cytochrome P450 10	CYPX	GO:0020037;GO:0005506;GO:0004497;GO:0016705			GO:0020037;GO:0005506;GO:0004497;GO:0016705
Q9CR50;Q920H0	68098	Rchy1	RING finger and CHY zinc finger domain-containing protein 1	Zinc finger protein 363	GO:0005737;GO:0005829;GO:0043231;GO:0016607;GO:0005654;GO:0005634;GO:0000151;GO:0002039;GO:0042803;GO:0005102;GO:0061630;GO:0008270;GO:0032436;GO:0031398;GO:0051865;GO:0016567;GO:0006511	GO:0032436;GO:0031398;GO:0051865;GO:0016567;GO:0006511	GO:0005737;GO:0005829;GO:0043231;GO:0016607;GO:0005654;GO:0005634;GO:0000151	GO:0002039;GO:0042803;GO:0005102;GO:0061630;GO:0008270
Q5ZM20	416628	RMI2	RecQ-mediated genome instability protein 2	Zinc finger protein 363	GO:0005829;GO:0016607;GO:0031422;GO:0003677;GO:0006281;GO:0006260;GO:0000724;GO:0043007;GO:2000042;GO:0033045;GO:0071139	GO:0006281;GO:0006260;GO:0000724;GO:0043007;GO:2000042;GO:0033045;GO:0071139	GO:0005829;GO:0016607;GO:0031422	GO:0003677
Q8BFY9;Q8C0S3;Q8K2E7	238799	Tnpo1	Transportin-1	Karyopherin beta-2	GO:0005737;GO:0005634;GO:0061608;GO:0008139;GO:0031267;GO:0006606	GO:0006606	GO:0005737;GO:0005634	GO:0061608;GO:0008139;GO:0031267
Q148G4	509365	TATDN1	Deoxyribonuclease TATDN1	Karyopherin beta-2	GO:0005654;GO:0008296;GO:0046872		GO:0005654	GO:0008296;GO:0046872
A0JMW6	779351	tmem214-a	Transmembrane protein 214-A	Karyopherin beta-2	GO:0005881;GO:0005789;GO:0016021;GO:0006915	GO:0006915	GO:0005881;GO:0005789;GO:0016021	
Q0E908;Q960G2	37328	Hil	Hillarin	D-Hillarin	GO:0005938;GO:0032154;GO:0046872		GO:0005938;GO:0032154	GO:0046872
Q6UPR8	373544	Ermp1	Endoplasmic reticulum metallopeptidase 1	Felix-ina	GO:0005783;GO:0005789;GO:0016021;GO:0046872;GO:0008235;GO:0034599;GO:0030968;GO:0001541;GO:0006508	GO:0034599;GO:0030968;GO:0001541;GO:0006508	GO:0005783;GO:0005789;GO:0016021	GO:0046872;GO:0008235
O14792;B3KUA6;Q6PEY8	9957	HS3ST1	Heparan sulfate glucosamine 3-O-sulfotransferase 1	Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 1	GO:0005796;GO:0008467;GO:0008146;GO:0006024	GO:0006024	GO:0005796	GO:0008467;GO:0008146
O15973		SCOP1	Rhodopsin GQ-coupled	GQ-rhodopsin	GO:0016021;GO:0005886;GO:0004930;GO:0009881;GO:0007602;GO:0018298;GO:0007601	GO:0007602;GO:0018298;GO:0007601	GO:0016021;GO:0005886	GO:0004930;GO:0009881
